id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
5BvP31Kxf5R5WIuwbcQDDT,Used To Be,acoustic,https://open.spotify.com/track/5BvP31Kxf5R5WIuwbcQDDT,59.0,0.0617,0.6459999999999999,0.6579999999999999,0.0,0.0692,0.052000000000000005,190866.0,7.0,-4.678,1.0,92.001,0.44,79.0,2018-10-05,0.0,0
3ReE66I13dqsIxP9K5btfS,Hallelujah (Exclusive Single for Visiting Orphans) (feat. Tulsi),acoustic,https://open.spotify.com/track/3ReE66I13dqsIxP9K5btfS,37.0,0.7490000000000001,0.583,0.459,0.0,0.35600000000000004,0.0383,237876.0,4.0,-8.355,1.0,112.827,0.246,79.0,2011-12-01,0.0,1
6e5RUBdQ4M2L1D5ULaUFqX,Downpour,acoustic,https://open.spotify.com/track/6e5RUBdQ4M2L1D5ULaUFqX,37.0,0.7070000000000001,0.563,0.21600000000000005,0.000666,0.109,0.0312,194813.0,7.0,-12.172,1.0,116.016,0.204,79.0,2007-04-03,0.0,2
0MY3K86lZ9HIat4oBi40dh,Here With Me - Acoustic,acoustic,https://open.spotify.com/track/0MY3K86lZ9HIat4oBi40dh,56.0,0.833,0.6890000000000001,0.299,0.0,0.115,0.0301,164478.0,7.0,-9.431,1.0,96.825,0.52,79.0,2019-04-12,0.0,3
3EDsE5wLaAASVRmF6T9hWO,Hung the Moon (Uh Huh Song),acoustic,https://open.spotify.com/track/3EDsE5wLaAASVRmF6T9hWO,36.0,0.665,0.503,0.289,4.15e-05,0.0849,0.0271,179706.0,0.0,-10.292,1.0,147.381,0.547,79.0,2009-08-11,0.0,4
0AYG9AcwqEeqgAw3OvshPC,The Woman I Love,acoustic,https://open.spotify.com/track/0AYG9AcwqEeqgAw3OvshPC,45.0,0.0682,0.591,0.647,6.720000000000001e-05,0.231,0.0277,190751.0,4.0,-8.34,1.0,79.679,0.6779999999999999,15.0,2012-04-13,0.0,5
4vl2zwXsTmAxgu9iY0g6UK,I Don't Want to Be,acoustic,https://open.spotify.com/track/4vl2zwXsTmAxgu9iY0g6UK,63.0,0.007909999999999999,0.423,0.862,0.0,0.133,0.0695,217760.0,0.0,-5.13,0.0,154.746,0.462,78.0,2003-07-21,0.0,6
2fPjvOwIjwKapZz6FEl7N6,Chill In The Air,acoustic,https://open.spotify.com/track/2fPjvOwIjwKapZz6FEl7N6,41.0,0.185,0.657,0.441,2.3800000000000006e-05,0.102,0.0352,267865.0,6.0,-10.336,1.0,134.002,0.278,75.0,2013-01-01,0.0,7
6WFXV8OcUOvH92XOlMFKft,Let It Be Me,acoustic,https://open.spotify.com/track/6WFXV8OcUOvH92XOlMFKft,39.0,0.46,0.612,0.273,0.0,0.116,0.0265,280226.0,0.0,-7.985,1.0,108.097,0.319,51.0,2009-03-04,0.0,8
4JWgRSFQqIQFFase45s6Ho,Not Enough Drugs (Acoustic),acoustic,https://open.spotify.com/track/4JWgRSFQqIQFFase45s6Ho,48.0,0.662,0.468,0.413,0.0,0.0669,0.0427,226648.0,10.0,-10.349,1.0,159.487,0.403,79.0,2017-03-24,1.0,9
