id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit,idx
5OpjJ9qy54D3PzQJ1s4Q9X,TESTIFY,acoustic,https://open.spotify.com/track/5OpjJ9qy54D3PzQJ1s4Q9X,59.0,0.47100000000000003,0.495,0.71,0.0,0.0703,0.0288,243800.0,0.0,-3.9410000000000003,1.0,90.024,0.319,79.0,2016-07-15,0.0,0
6ZgaHk6yrHBbHrbTmKl2pZ,Learned A Lot,acoustic,https://open.spotify.com/track/6ZgaHk6yrHBbHrbTmKl2pZ,39.0,0.85,0.556,0.285,0.068,0.109,0.0294,270786.0,0.0,-9.884,1.0,128.167,0.322,78.0,2011,0.0,1
4wQKyYfNDY7E8ybcp0hF61,Jupiter's Call,acoustic,https://open.spotify.com/track/4wQKyYfNDY7E8ybcp0hF61,35.0,0.879,0.6940000000000001,0.354,8.27e-05,0.381,0.0829,180952.0,2.0,-12.275,1.0,130.346,0.652,79.0,2018-06-01,0.0,2
3JndPOkXLuhupgWnRrPSua,Rain,acoustic,https://open.spotify.com/track/3JndPOkXLuhupgWnRrPSua,36.0,0.654,0.4970000000000001,0.3720000000000001,0.0,0.0624,0.0261,248293.0,5.0,-8.094,1.0,94.604,0.29,56.0,2002-04-09,0.0,3
3tjQYh1H3c17IQMdd8AIBb,The Shining Barrier,acoustic,https://open.spotify.com/track/3tjQYh1H3c17IQMdd8AIBb,40.0,0.794,0.373,0.16,0.764,0.107,0.0407,251075.0,10.0,-21.342,1.0,112.57799999999999,0.14400000000000002,79.0,2014-09-15,0.0,4
1Ceyu1SpGIlm8H8WH5MWtP,Live While We're Young,acoustic,https://open.spotify.com/track/1Ceyu1SpGIlm8H8WH5MWtP,43.0,0.16699999999999998,0.532,0.733,1.58e-06,0.141,0.0861,307760.0,10.0,-6.2520000000000024,1.0,80.102,0.32799999999999996,79.0,2014-04-29,0.0,5
6dwkFmLUz6hx2CZG2EqLol,Collide,acoustic,https://open.spotify.com/track/6dwkFmLUz6hx2CZG2EqLol,65.0,0.222,0.636,0.625,5.350000000000001e-05,0.11900000000000001,0.0277,249120.0,11.0,-7.895,1.0,93.931,0.342,32.0,2003-10-07,0.0,6
3eG1hZzHlXvLMaSzlltbLA,A Song Dedicated to the Memory of Stormy the Rabbit,acoustic,https://open.spotify.com/track/3eG1hZzHlXvLMaSzlltbLA,40.0,0.6,0.679,0.33299999999999996,0.0,0.0774,0.0298,184533.0,9.0,-6.6739999999999995,0.0,147.02,0.845,79.0,2007-09-11,0.0,7
6WaIDdOdfmWdvXvUyBMq7F,DON'T BRING THAT TROUBLE,acoustic,https://open.spotify.com/track/6WaIDdOdfmWdvXvUyBMq7F,39.0,0.008490000000000001,0.649,0.9359999999999999,9.56e-06,0.153,0.0432,176933.0,5.0,-4.131,0.0,130.94299999999998,0.6920000000000001,79.0,2016-07-15,0.0,8
2zm8II98B6PmjZXluC9SZA,"Getting Naked, Playing with Guns",acoustic,https://open.spotify.com/track/2zm8II98B6PmjZXluC9SZA,42.0,0.43799999999999994,0.6859999999999999,0.395,4.83e-05,0.187,0.033,198897.0,0.0,-9.823,1.0,103.367,0.442,78.0,2014-05-06,0.0,9
