id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
3d3LHam2Lc5ADEyJxG3fXE,Thinking 'Bout Love,acoustic,https://open.spotify.com/track/3d3LHam2Lc5ADEyJxG3fXE,61.0,0.487,0.732,0.328,0.0,0.0677,0.0327,199391.0,5.0,-8.13,1.0,141.789,0.385,79.0,2020-05-01,0.0,0
62h7AycdIWjq6uYWC0LBht,River,acoustic,https://open.spotify.com/track/62h7AycdIWjq6uYWC0LBht,40.0,0.615,0.322,0.265,0.000313,0.1,0.0354,323591.0,6.0,-12.899,1.0,176.398,0.236,77.0,2019-03-08,0.0,1
40zCruc5lh9gHw8QgZcNLi,Falling Faster,acoustic,https://open.spotify.com/track/40zCruc5lh9gHw8QgZcNLi,36.0,0.0726,0.58,0.8320000000000001,0.00279,0.0902,0.0376,266173.0,5.0,-6.18,1.0,121.994,0.6759999999999999,79.0,2015-10-16,0.0,2
6gvlSiOrZQ4tIWquhRTC2W,Don't Cry For Me,acoustic,https://open.spotify.com/track/6gvlSiOrZQ4tIWquhRTC2W,35.0,0.113,0.703,0.6509999999999999,2.16e-06,0.222,0.052000000000000005,182826.0,0.0,-5.757999999999999,0.0,149.94299999999996,0.338,79.0,2018-05-04,0.0,3
0mD8Oey9zR0TR8XyiOx3NO,Nothing More (feat. Lily Costner),acoustic,https://open.spotify.com/track/0mD8Oey9zR0TR8XyiOx3NO,37.0,0.0589,0.498,0.599,0.0,0.117,0.0289,200960.0,0.0,-4.723,1.0,88.068,0.222,79.0,2013-09-30,0.0,4
4psC5agYNMRBscGeLTqhc3,20 Years,acoustic,https://open.spotify.com/track/4psC5agYNMRBscGeLTqhc3,43.0,0.908,0.523,0.29600000000000004,0.0008699999999999999,0.0922,0.0292,181546.0,11.0,-12.486,0.0,122.571,0.34600000000000003,1.0,2011-02-01,0.0,5
3JMZf5NgzdHslVupf7YlY0,Lucky,acoustic,https://open.spotify.com/track/3JMZf5NgzdHslVupf7YlY0,5.0,0.342,0.7090000000000001,0.384,0.0,0.15,0.0351,189013.0,9.0,-8.845,0.0,130.066,0.485,79.0,2020-06-19,0.0,6
3bkrE2TqHt5o8OZmvdtlfv,Stand by Me,acoustic,https://open.spotify.com/track/3bkrE2TqHt5o8OZmvdtlfv,49.0,0.8740000000000001,0.687,0.0342,0.0,0.113,0.0425,142050.0,0.0,-17.973,1.0,100.072,0.171,79.0,2018-12-14,0.0,7
71BCG0loHEyBoY2ds0qced,Upbeat Feelgood,acoustic,https://open.spotify.com/track/71BCG0loHEyBoY2ds0qced,39.0,0.115,0.547,0.607,0.000536,0.14,0.0288,203440.0,0.0,-8.623,1.0,83.772,0.459,3.0,2016-05-13,0.0,8
25raxlYX65MJqdjoSKIPI0,Chance,acoustic,https://open.spotify.com/track/25raxlYX65MJqdjoSKIPI0,36.0,0.188,0.628,0.429,0.0,0.086,0.0261,179061.0,4.0,-9.536,1.0,97.998,0.403,79.0,2020-06-19,0.0,9
7rjWR7YUXJDX1iYw7bt8kW,Satellite Heart,acoustic,https://open.spotify.com/track/7rjWR7YUXJDX1iYw7bt8kW,45.0,0.13,0.45,0.393,0.11,0.116,0.0276,213533.0,6.0,-9.472,1.0,75.97399999999998,0.138,44.0,2009-10-09,0.0,10
6mjmwwUs9QLBau0wrjSCoo,I Can Feel It,acoustic,https://open.spotify.com/track/6mjmwwUs9QLBau0wrjSCoo,26.0,0.00943,0.64,0.8690000000000001,0.0129,0.0986,0.0612,168479.0,0.0,-5.853,1.0,108.043,0.509,79.0,2020-06-19,0.0,11
0ZsaNvBjUszvPpnBAdGOJx,Summer Breeze,acoustic,https://open.spotify.com/track/0ZsaNvBjUszvPpnBAdGOJx,38.0,0.639,0.525,0.703,2.53e-06,0.124,0.0261,266773.0,4.0,-6.832999999999998,0.0,92.899,0.674,79.0,2004,0.0,12
5BvP31Kxf5R5WIuwbcQDDT,Used To Be,acoustic,https://open.spotify.com/track/5BvP31Kxf5R5WIuwbcQDDT,59.0,0.0617,0.6459999999999999,0.6579999999999999,0.0,0.0692,0.052000000000000005,190866.0,7.0,-4.678,1.0,92.001,0.44,79.0,2018-10-05,0.0,13
3gEyA6UtRSk1058sev61D6,Now Is The Start,acoustic,https://open.spotify.com/track/3gEyA6UtRSk1058sev61D6,34.0,0.00124,0.5589999999999999,0.7809999999999999,0.0353,0.101,0.0332,286429.0,1.0,-6.805,1.0,114.962,0.227,2.0,2012-01-01,0.0,14
0C4IaD9aowgnPgqVA9WIxT,Seasons,acoustic,https://open.spotify.com/track/0C4IaD9aowgnPgqVA9WIxT,56.0,0.113,0.311,0.424,0.0,0.117,0.035,243106.0,7.0,-6.235,1.0,205.386,0.344,79.0,2020-04-30,0.0,15
1nXquMfUt3XgbCnVSgaM7F,State I'm In - Acoustic Live,acoustic,https://open.spotify.com/track/1nXquMfUt3XgbCnVSgaM7F,45.0,0.171,0.5,0.926,6.45e-05,0.705,0.0496,250440.0,1.0,-4.495,1.0,129.673,0.275,79.0,2018-11-16,0.0,16
