,id,name,artist,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit
0,3XnDbrxxtA40HPIIRWLgRT,Eloise,Penny and Sparrow,acoustic,61.0,0.695,0.606,0.415,0.00149,0.174,0.0475,168712.0,7.0,-8.317,0.0,137.775,0.405,79.0,2019-08-02,0.0
1,74tjxbbaErZPocRtItsuWN,Ride,Cary Brothers,acoustic,42.0,0.126,0.496,0.674,0.000333,0.0775,0.0323,220573.0,7.0,-7.768,1.0,117.98,0.196,79.0,2007-05-29,0.0
2,7KJvKmC0rCzGDEcD3YN6IV,Undercover,Wild Rivers,acoustic,39.0,0.62,0.556,0.325,0.00289,0.104,0.0322,217897.0,6.0,-13.709,1.0,165.913,0.195,79.0,2016-04-16,0.0
3,1WE055A5d1019EAx79Rg8Q,Mojo Hand,Lightnin' Hopkins,acoustic,43.0,0.656,0.567,0.56,0.000102,0.127,0.147,182508.0,11.0,-8.356,0.0,147.008,0.766,79.0,2008-01-01,0.0
4,5I7ZntCRp2ecAQ7Pk2JDb1,"Enemy, love.",John Mark McMillan,acoustic,39.0,0.0313,0.646,0.642,0.00615,0.182,0.0342,258937.0,1.0,-8.478,0.0,101.947,0.203,66.0,2017-09-01,0.0
5,7mQruvaJWb7U18LX7p3m5r,Love Someone,Jason Mraz,acoustic,46.0,0.306,0.579,0.363,0.00692,0.111,0.0308,256973.0,7.0,-14.185,1.0,97.955,0.0754,19.0,2014-07-14,0.0
6,591lgphAIVn2aY9oyJRGuX,Hang On,NEEDTOBREATHE,acoustic,62.0,0.00689,0.511,0.872,0.000122,0.0485,0.0612,258839.0,8.0,-3.313,1.0,127.99,0.494,79.0,2020-04-30,0.0
7,1G4wFHQVS1rLtif8dHurg1,Don't Call Me Up,Dan Berk,acoustic,53.0,0.867,0.605,0.143,0.0,0.164,0.039,203054.0,9.0,-15.233,1.0,120.301,0.385,79.0,2019-03-22,0.0
8,1eFSDnQt9ZNzsbhFdJPj73,Never Gonna Give You Up - Live,Ben Rector,acoustic,38.0,0.0586,0.515,0.669,0.0,0.776,0.149,191880.0,9.0,-7.12,0.0,113.932,0.156,79.0,2019-06-21,0.0
9,1WSF2SjtfkV8LjTlF8uCZH,Start of Time,Gabrielle Aplin,acoustic,48.0,0.165,0.453,0.461,0.0,0.109,0.0329,239855.0,0.0,-9.328,0.0,106.84,0.0844,54.0,2013-05-13,0.0
10,7ramsuRnc706xxCeBSQJtQ,NO EXCUSES (Acoustic Live),NEEDTOBREATHE,acoustic,46.0,0.55,0.377,0.504,9.35e-05,0.72,0.0439,291026.0,6.0,-7.546,0.0,131.032,0.285,79.0,2018-11-16,0.0
